university,degree,season,decision,gpa,gre_verbal,gre_quant,gre_writing,status,uni_faculty,uni_pub,world_ranking
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.8,162.0,168.0,4.5,International,37.0,5.0,11
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.8,162.0,168.0,4.5,International,42.0,5.4,29
"University Of Wisconsin, Madison",MS,F15,Accepted,3.6,159.0,159.0,4.0,American,48.0,5.9,27
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.74,154.0,167.0,3.5,International,37.0,5.0,11
Colorado State University (CSU),PhD,F15,Rejected,2.6,163.0,145.0,3.0,International,10.0,1.2,238
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.86,152.0,165.0,4.0,International,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.48,158.0,168.0,4.0,International,42.0,5.4,29
Purdue University,MS,F15,Accepted,3.3,154.0,166.0,3.0,International,53.0,4.8,106
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.3,154.0,166.0,3.0,International,42.0,5.4,29
Rutgers University,MS,F15,Accepted,3.13,160.0,169.0,4.0,International,43.0,3.6,105
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.7,150.0,169.0,4.0,International,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.68,153.0,162.0,4.0,International,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.94,144.0,168.0,3.0,International with US Degree,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.95,163.0,163.0,4.0,International,42.0,5.4,29
Ohio State University (OSU),PhD,F15,Rejected,3.85,158.0,159.0,5.0,American,35.0,3.4,66
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.23,156.0,163.0,4.0,International,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.83,161.0,160.0,5.0,American,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.8,148.0,170.0,3.0,International,42.0,5.4,29
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.8,162.0,170.0,5.0,American,42.0,5.4,29
Cornell University,MS,F15,Rejected,4.0,162.0,165.0,5.0,International,68.0,8.7,14
Georgia Institute Of Technology (GTech),MS,F15,Rejected,3.69,167.0,164.0,5.0,American,73.0,6.7,27
