"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"MS","Website",NA,NA,NA,"International",21,2.4,3
"PhD","Website",NA,NA,NA,"International with US Degree",52,6.4,3
"PhD","E-mail",3.76,163,166,"International with US Degree",47,5.8,2
"PhD","Phone",3.8,162,166,"American",152,18.1,1
"PhD","E-mail",NA,NA,NA,"International with US Degree",NA,NA,3
"MS","E-mail",NA,NA,NA,"International",73,6.7,5
"MS","Website",3.5,152,169,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"International",15,1.9,3
"MS","E-mail",3.24,147,159,"International with US Degree",53,6.9,3
"PhD","E-mail",3.57,153,164,"Other",20,2.3,3
"PhD","E-mail",NA,NA,NA,"International",53,4.8,4
"PhD","E-mail",NA,NA,NA,"International",63,8.6,2
"PhD","Website",3.91,152,166,"International",50,5.7,5
"MS","E-mail",3.22,170,159,"American",83,11.1,2
"PhD","E-mail",3.94,157,158,"American",52,6.4,2
"MS","E-mail",4,148,166,"American",83,9.9,3
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",4,161,163,"International",152,18.1,2
"PhD","Website",3.5,164,165,"American",16,1.3,2
"PhD","E-mail",4,170,155,"International with US Degree",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International",53,6.9,4
"PhD","E-mail",NA,NA,NA,"International",37,5,3
"MS","E-mail",NA,NA,NA,"International",33,3.4,2
"PhD","Phone",NA,NA,NA,"American",6,1.1,3
"PhD","E-mail",NA,NA,NA,"International",52,6.4,2
"MS","E-mail",NA,NA,NA,"International",37,3.4,4
"PhD","E-mail",NA,NA,NA,"International",32,2.7,2
"PhD","Website",NA,NA,NA,"International with US Degree",53,4.8,3
"MS","E-mail",3.8,153,166,"International",48,5.9,2
"PhD","E-mail",3.75,149,159,"International",36,2.8,5
"PhD","E-mail",NA,NA,NA,"International",63,8.6,3
"MS","E-mail",NA,154,167,"International",47,3,3
"MS","Website",NA,NA,NA,"International",73,6.7,4
"PhD","E-mail",NA,164,170,"International",47,5.8,2
"MS","E-mail",NA,NA,NA,"International",47,5.8,4
"MS","E-mail",NA,NA,NA,"International",25,3.5,2
"PhD","Website",NA,NA,NA,"International",85,12.3,3
"MS","Website",NA,NA,NA,"American",22,2.4,5
"PhD","E-mail",3.89,147,163,"International",12,1.4,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",47,5.8,11
"PhD","E-mail",NA,NA,NA,"International with US Degree",68,8.7,3
"PhD","E-mail",NA,NA,NA,"International",42,5.4,3
"PhD","Website",4,158,170,"International",85,12.3,3
"PhD","E-mail",NA,NA,NA,"International",40,3.6,3
"PhD","E-mail",NA,NA,NA,"American",57,11.5,2
"MS","E-mail",NA,NA,NA,"International",37,5,3
"PhD","E-mail",NA,NA,NA,"International",14,1.4,3
"PhD","E-mail",NA,NA,NA,"American",22,2.4,1
"MS","E-mail",NA,NA,NA,"International",53,6.9,4
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","E-mail",3.78,161,162,"International",19,1.6,2
"MS","E-mail",3.45,144,166,"International",68,8.7,3
"PhD","E-mail",2.95,152,163,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"American",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",37,3.1,3
"PhD","E-mail",3.8,163,166,"International",42,5.4,4
"MS","E-mail",NA,NA,NA,"American",12,1.6,6
"MS","E-mail",3.9,166,170,"International",50,4.7,2
"MS","E-mail",3.7,158,170,"International",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"PhD","E-mail",3.7,157,170,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",85,12.3,2
"PhD","E-mail",3,163,168,"American",50,4.7,3
"PhD","E-mail",NA,NA,NA,"International",48,5.9,3
"MS","E-mail",NA,NA,NA,"American",47,5.8,3
"PhD","Website",3.76,170,149,"International",13,1.6,3
"PhD","E-mail",NA,NA,NA,"International",85,12.3,2
"PhD","E-mail",NA,NA,NA,"American",53,4.8,11
"MS","E-mail",NA,NA,NA,"International",26,2.3,3
"PhD","E-mail",NA,NA,NA,"International",40,3.6,2
"MS","E-mail",3.8,162,168,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"MS","E-mail",NA,147,164,"International",47,3,3
"PhD","E-mail",3.67,155,166,"International",46,5.6,3
"MS","E-mail",3.8,157,163,"International",83,9.9,3
"PhD","Website",NA,NA,NA,"International",26,3.3,2
"PhD","Other",NA,NA,NA,"International",52,6.4,2
"PhD","E-mail",4,162,170,"American",NA,NA,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",NA,NA,3
"MS","E-mail",3.92,160,170,"American",42,5.4,3
"PhD","E-mail",NA,NA,NA,"International",63,8.6,2
"MS","E-mail",3.95,160,166,"International",33,3.4,3
"PhD","E-mail",NA,NA,NA,"American",12,1.5,2
"PhD","E-mail",3.7,170,164,"International with US Degree",23,1.9,4
"PhD","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","E-mail",NA,NA,NA,"International",21,2.4,3
"MS","E-mail",3.1,156,161,"International",26,2.3,3
"PhD","Website",3.67,149,168,"International",15,1.5,2
"MS","E-mail",3.8,153,164,"International",42,2.6,4
"MS","E-mail",3.33,167,162,"American",55,4.3,1
"MS","E-mail",NA,NA,NA,"International with US Degree",42,2.6,4
"MS","E-mail",NA,NA,NA,"International",NA,NA,3
"MS","Website",3.77,155,167,"International",37,5,4
