is_phd,is_ms,is_spring,is_fall,year,university_name,university_ranking,university_faculty,university_publication,gpa,gre_verbal,gre_quant,gre_writing,is_american,is_international_without_american_degree,is_international_with_american_degree
False,True,True,False,15,Purdue University,106,53.0,4.8,3.8,154.0,164.0,3.5,False,True,False
True,False,True,False,15,Arizona State University (ASU),161,26.0,2.3,3.74,143.0,157.0,3.0,False,True,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.5,170.0,151.0,4.0,False,True,False
False,True,True,False,15,Johns Hopkins University (JHU),13,22.0,2.4,3.76,160.0,169.0,5.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.7,150.0,160.0,3.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,4.0,156.0,165.0,3.5,False,True,False
False,True,True,False,15,University Of Pennsylvania (UPenn),19,46.0,5.6,3.81,158.0,163.0,4.0,True,False,False
True,False,True,False,15,Cornell University,14,68.0,8.7,3.8,157.0,168.0,4.0,False,False,True
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.35,160.0,170.0,4.5,False,True,False
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.44,162.0,163.0,4.5,False,True,False
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.0,156.0,170.0,3.0,False,True,False
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.5,158.0,163.0,4.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.83,156.0,164.0,2.5,False,False,True
True,False,True,False,15,"University Of California, Santa Barbara (UCSB)",29,25.0,3.5,3.3,154.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.3,170.0,157.0,3.5,False,True,False
True,False,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.66,158.0,162.0,4.0,False,True,False
True,False,True,False,15,University Of New Mexico (UNM),260,14.0,1.5,3.5,160.0,149.0,3.0,False,True,False
True,False,True,False,15,Vanderbilt University,51,15.0,1.5,3.7,166.0,169.0,5.0,True,False,False
False,True,True,False,15,Vanderbilt University,51,15.0,1.5,3.14,145.0,165.0,3.0,False,True,False
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.5,170.0,152.0,3.0,False,True,False
True,False,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.9,150.0,170.0,3.0,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.42,154.0,170.0,3.5,False,True,False
False,True,True,False,15,New York University (NYU),60,46.0,4.3,3.4,157.0,165.0,4.0,False,True,False
False,True,True,False,15,Johns Hopkins University (JHU),13,22.0,2.4,3.47,154.0,170.0,3.5,False,False,True
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.8,156.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.85,152.0,169.0,3.0,False,True,False
True,False,True,False,15,Columbia University,18,47.0,5.8,3.8,162.0,158.0,3.5,False,True,False
True,False,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.68,141.0,170.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.42,159.0,159.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.65,161.0,170.0,5.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.9,168.0,152.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,4.0,148.0,170.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,4.0,156.0,165.0,3.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.56,152.0,169.0,4.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.51,162.0,168.0,4.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.9,152.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of Texas, Austin (UT Austin)",29,42.0,5.4,3.79,152.0,167.0,3.0,False,False,True
False,True,True,False,15,"University Of California, Riverside (UCR)",117,36.0,2.8,3.94,151.0,161.0,4.0,False,True,False
True,False,True,False,15,Columbia University,18,47.0,5.8,3.8,159.0,161.0,4.5,True,False,False
True,False,True,False,15,Tufts University,53,13.0,1.6,3.3,141.0,160.0,3.0,False,True,False
False,True,True,False,15,"University Of Massachusetts, Amherst (UMass)",56,50.0,4.7,3.4,146.0,144.0,3.0,False,True,False
True,False,True,False,15,Columbia University,18,47.0,5.8,3.42,161.0,167.0,3.5,False,True,False
